Item,Year,Sales,Sales Last Year,Sales Growth %
Cauliflower,2011,72,61.0,18.0
Cauliflower,2012,92,72.0,27.8
Cauliflower,2013,79,92.0,-14.1
Cauliflower,2014,17,79.0,-78.5
Cauliflower,2015,96,17.0,464.7
Cauliflower,2016,96,96.0,0.0
Cauliflower,2017,83,96.0,-13.5
Cauliflower,2018,26,83.0,-68.7
Cauliflower,2019,68,26.0,161.5
Ginger,2010,98,,
Ginger,2011,68,98.0,-30.6
Ginger,2012,50,68.0,-26.5
Ginger,2013,72,50.0,44.0
Ginger,2014,12,72.0,-83.3
Ginger,2015,90,12.0,650.0
Ginger,2016,90,90.0,0.0
Ginger,2017,15,90.0,-83.3
Ginger,2018,87,15.0,480.0
Ginger,2019,86,87.0,-1.1
Hibuscus,2010,23,,
Hibuscus,2011,28,23.0,21.7
Hibuscus,2012,20,28.0,-28.6
Hibuscus,2013,96,20.0,380.0
Hibuscus,2014,55,96.0,-42.7
Hibuscus,2015,14,55.0,-74.5
Hibuscus,2016,23,14.0,64.3
Hibuscus,2017,10,23.0,-56.5
Hibuscus,2018,76,10.0,660.0
Hibuscus,2019,68,76.0,-10.5
Lychee,2010,16,,
Lychee,2011,39,16.0,143.8
Lychee,2012,22,39.0,-43.6
Lychee,2013,82,22.0,272.7
Lychee,2014,48,82.0,-41.5
Lychee,2015,83,48.0,72.9
Lychee,2016,21,83.0,-74.7
Lychee,2017,18,21.0,-14.3
Lychee,2018,40,18.0,122.2
Lychee,2019,73,40.0,82.5
Money Plant,2010,74,,
Money Plant,2011,88,74.0,18.9
Money Plant,2012,51,88.0,-42.0
Money Plant,2013,39,51.0,-23.5
Money Plant,2014,75,39.0,92.3
Money Plant,2015,32,75.0,-57.3
Money Plant,2016,27,32.0,-15.6
Money Plant,2017,80,27.0,196.3
Money Plant,2018,63,80.0,-21.3
Money Plant,2019,36,63.0,-42.9
Onions,2010,10,,
Onions,2011,78,10.0,680.0
Onions,2012,54,78.0,-30.8
Onions,2013,17,54.0,-68.5
Onions,2014,12,17.0,-29.4
Onions,2015,89,12.0,641.7
Onions,2016,27,89.0,-69.7
Onions,2017,51,27.0,88.9
Onions,2018,48,51.0,-5.9
Onions,2019,58,48.0,20.8
Orange,2010,40,,
Orange,2011,44,40.0,10.0
Orange,2012,48,44.0,9.1
Orange,2013,87,48.0,81.2
Orange,2014,20,87.0,-77.0
Orange,2015,83,20.0,315.0
Orange,2016,91,83.0,9.6
Orange,2017,59,91.0,-35.2
Orange,2018,38,59.0,-35.6
Orange,2019,41,38.0,7.9
Palm,2010,57,,
Palm,2011,68,57.0,19.3
Palm,2012,33,68.0,-51.5
Palm,2013,15,33.0,-54.5
Palm,2014,88,15.0,486.7
Palm,2015,39,88.0,-55.7
Palm,2016,43,39.0,10.3
Palm,2017,90,43.0,109.3
Palm,2018,16,90.0,-82.2
Palm,2019,17,16.0,6.2
Radish,2010,64,,
Radish,2011,45,64.0,-29.7
Radish,2012,48,45.0,6.7
Radish,2013,73,48.0,52.1
Radish,2014,79,73.0,8.2
Radish,2015,18,79.0,-77.2
Radish,2016,74,18.0,311.1
Radish,2017,82,74.0,10.8
Radish,2018,58,82.0,-29.3
Radish,2019,34,58.0,-41.4
Rose,2010,80,,
Rose,2011,49,80.0,-38.7
Rose,2012,10,49.0,-79.6
Rose,2013,59,10.0,490.0
Rose,2014,71,59.0,20.3
Rose,2015,67,71.0,-5.6
Rose,2016,75,67.0,11.9
Rose,2017,92,75.0,22.7
Rose,2018,26,92.0,-71.7
Rose,2019,34,26.0,30.8
Spinach,2010,41,,
Spinach,2011,51,41.0,24.4
Spinach,2012,68,51.0,33.3
Spinach,2013,45,68.0,-33.8
Spinach,2014,73,45.0,62.2
Spinach,2015,38,73.0,-47.9
Spinach,2016,31,38.0,-18.4
Spinach,2017,95,31.0,206.5
Spinach,2018,77,95.0,-18.9
Spinach,2019,21,77.0,-72.7
Strawberry,2010,93,,
Strawberry,2011,41,93.0,-55.9
Strawberry,2012,88,41.0,114.6
Strawberry,2013,38,88.0,-56.8
Strawberry,2014,27,38.0,-28.9
Strawberry,2015,33,27.0,22.2
Strawberry,2016,77,33.0,133.3
Strawberry,2017,13,77.0,-83.1
Strawberry,2018,26,13.0,100.0
Strawberry,2019,37,26.0,42.3
Tomato,2010,100,,
Tomato,2011,72,100.0,-28.0
Tomato,2012,95,72.0,31.9
Tomato,2013,28,95.0,-70.5
Tomato,2014,45,28.0,60.7
Tomato,2015,60,45.0,33.3
Tomato,2016,49,60.0,-18.3
Tomato,2017,10,49.0,-79.6
Tomato,2018,35,10.0,250.0
Tomato,2019,35,35.0,0.0
